"date_long,year,id_no,country,region,source,latitude,longitude,magnitude_body,magnitude_surface,depth,yield_lower,yield_upper,purpose,name,type",year,id_no,country,region,source,latitude,longitude,magnitude_body,magnitude_surface,depth,yield_lower,yield_upper,purpose,name,type
"19540929,1954,54008,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0.2,0.2,WR,NA,ATMOSPH",1954,54008,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0.2,0.2,WEAPONS TESTING,NA,ATMOSPHERE
"19541001,1954,54009,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0.03,0.03,WR,NA,ATMOSPH",1954,54009,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0.03,0.03,WEAPONS TESTING,NA,ATMOSPHERE
"19541003,1954,54010,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,2,2,WR,NA,ATMOSPH",1954,54010,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,2,2,WEAPONS TESTING,NA,ATMOSPHERE
"19541005,1954,54011,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,4,4,WR,NA,SURFACE",1954,54011,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,4,4,WEAPONS TESTING,NA,SURFACE
"19541008,1954,54012,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0.8,0.8,WR,NA,ATMOSPH",1954,54012,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0.8,0.8,WEAPONS TESTING,NA,ATMOSPHERE
"19541019,1954,54013,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0,0.001,WR,NA,SURFACE",1954,54013,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0,0.001,WEAPONS TESTING,NA,SURFACE
"19541023,1954,54014,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,62,62,WR,NA,ATMOSPH",1954,54014,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,62,62,WEAPONS TESTING,NA,ATMOSPHERE
"19541026,1954,54015,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,2.8,2.8,WR,NA,ATMOSPH",1954,54015,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,2.8,2.8,WEAPONS TESTING,NA,ATMOSPHERE
"19541030,1954,54016,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,10,10,WR,NA,SURFACE",1954,54016,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,10,10,WEAPONS TESTING,NA,SURFACE
"19550514,1955,55014,USA,OFFUSWCOAST,DOE,29,-126,0,0,0,30,30,WE,WIGWAM,UW",1955,55014,USA,OFFUSWCOAST,DOE,29,-126,0,0,0,30,30,EFFECT TESTING,WIGWAM,UNDERWATER
"19550729,1955,55016,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,1.3,1.3,WR,NA,SURFACE",1955,55016,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,1.3,1.3,WEAPONS TESTING,NA,SURFACE
"19550802,1955,55017,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,12,12,WR,NA,SURFACE",1955,55017,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,12,12,WEAPONS TESTING,NA,SURFACE
"19550805,1955,55018,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,1.2,1.2,WR,NA,SURFACE",1955,55018,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,1.2,1.2,WEAPONS TESTING,NA,SURFACE
"19550921,1955,55019,USSR,NZ RUSS,DOE,73,55,0,0,0,3.5,3.5,WE,NA,UW",1955,55019,USSR,NZ RUSS,DOE,73,55,0,0,0,3.5,3.5,EFFECT TESTING,NA,UNDERWATER
"19551101,1955,55022,USA,NTS,DOE,37,-116,0,0,0,0,0,SE,PROJECT 56:1,SURFACE",1955,55022,USA,NTS,DOE,37,-116,0,0,0,0,0,SAFETY TESTING,PROJECT 56:1,SURFACE
"19551103,1955,55023,USA,NTS,DOE,37,-116,0,0,0,0,0,SE,PROJECT 56:2,SURFACE",1955,55023,USA,NTS,DOE,37,-116,0,0,0,0,0,SAFETY TESTING,PROJECT 56:2,SURFACE
"19551105,1955,55024,USA,NTS,DOE,37,-116,0,0,0,0,0,SE,PROJECT 56:3,SURFACE",1955,55024,USA,NTS,DOE,37,-116,0,0,0,0,0,SAFETY TESTING,PROJECT 56:3,SURFACE
"19551106,1955,55020,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,250,250,WR,NA,ATMOSPH",1955,55020,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,250,250,WEAPONS TESTING,NA,ATMOSPHERE
"19551122,1955,55021,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,1600,1600,WR,NA,ATMOSPH",1955,55021,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,1600,1600,WEAPONS TESTING,NA,ATMOSPHERE
"19560202,1956,56002,USSR,KAZAKH,MTM,46,61,0,0,0,0.3,0.3,WE,NA,SURFACE",1956,56002,USSR,KAZAKH,MTM,46,61,0,0,0,0.3,0.3,EFFECT TESTING,NA,SURFACE
"19560316,1956,56003,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,14,14,WR,NA,SURFACE",1956,56003,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,14,14,WEAPONS TESTING,NA,SURFACE
"19560325,1956,56004,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,5.5,5.5,WR,NA,SURFACE",1956,56004,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,5.5,5.5,WEAPONS TESTING,NA,SURFACE
"19560516,1956,56006,UK,MONTEB AUSTR,DOE,-20.23,115.55,0,0,0,15,15,WR,MOSAIC:Gl,TOWER",1956,56006,UK,MONTEB AUSTR,DOE,-20.23,115.55,0,0,0,15,15,WEAPONS TESTING,MOSAIC:Gl,ATMOSPHERE
"19560527,1956,56009,USA,ENEWETAK,DOE,11.3,162.15,0,0,0,0.19,0.19,WR,YUMA,TOWER",1956,56009,USA,ENEWETAK,DOE,11.3,162.15,0,0,0,0.19,0.19,WEAPONS TESTING,YUMA,ATMOSPHERE
"19560613,1956,56014,USA,ENEWETAK,DOE,11.3,162.15,0,0,0,1.49,1.49,WR,KICKAPOO,TOWER",1956,56014,USA,ENEWETAK,DOE,11.3,162.15,0,0,0,1.49,1.49,WEAPONS TESTING,KICKAPOO,ATMOSPHERE
"19560619,1956,56016,UK,MONTEB AUSTR,DOE,-20.4,115.53,0,0,0,60,60,WR,MOSAIC:G2,TOWER",1956,56016,UK,MONTEB AUSTR,DOE,-20.4,115.53,0,0,0,60,60,WEAPONS TESTING,MOSAIC:G2,ATMOSPHERE
"19560621,1956,56017,USA,ENEWETAK,DOE,11.3,162.15,0,0,0,15.2,15.2,WR,INCA,TOWER",1956,56017,USA,ENEWETAK,DOE,11.3,162.15,0,0,0,15.2,15.2,WEAPONS TESTING,INCA,ATMOSPHERE
"19560702,1956,56019,USA,ENEWETAK,DOE,11.3,162.15,0,0,0,360,360,WR,MOHAWK,TOWER",1956,56019,USA,ENEWETAK,DOE,11.3,162.15,0,0,0,360,360,WEAPONS TESTING,MOHAWK,ATMOSPHERE
"19560824,1956,56024,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,27,27,WR,NA,SURFACE",1956,56024,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,27,27,WEAPONS TESTING,NA,SURFACE
"19560830,1956,56025,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,900,900,WR,NA,ATMOSPH",1956,56025,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,900,900,WEAPONS TESTING,NA,ATMOSPHERE
"19560902,1956,56026,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,51,51,WR,NA,ATMOSPH",1956,56026,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,51,51,WEAPONS TESTING,NA,ATMOSPHERE
"19560910,1956,56027,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,38,38,WR,NA,ATMOSPH",1956,56027,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,38,38,WEAPONS TESTING,NA,ATMOSPHERE
"19560927,1956,56028,UK,MARALI AUSTR,DOE,-30,131,0,0,0,15,15,WR,BUFFALO: Rl,TOWER",1956,56028,UK,MARALI AUSTR,DOE,-30,131,0,0,0,15,15,WEAPONS TESTING,BUFFALO: Rl,ATMOSPHERE
"19561011,1956,56030,UK,MARALI AUSTR,DOE,-30,131,0,0,0,3,3,WR,BUFFALO: R3,AIRDROP",1956,56030,UK,MARALI AUSTR,DOE,-30,131,0,0,0,3,3,WEAPONS TESTING,BUFFALO: R3,AIRDROP
"19561022,1956,56031,UK,MARALI AUSTR,DOE,-30,131,0,0,0,10,10,WR,BUFFALO:R4,TOWER",1956,56031,UK,MARALI AUSTR,DOE,-30,131,0,0,0,10,10,WEAPONS TESTING,BUFFALO:R4,ATMOSPHERE
"19561117,1956,56032,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,900,900,WR,NA,ATMOSPH",1956,56032,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,900,900,WEAPONS TESTING,NA,ATMOSPHERE
"19561214,1956,56033,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,40,40,WR,NA,ATMOSPH",1956,56033,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,40,40,WEAPONS TESTING,NA,ATMOSPHERE
"19570119,1957,57001,USSR,MTR RUSS,DOE,48,46,0,0,0,10,10,WE,NA,ATMOSPH",1957,57001,USSR,MTR RUSS,DOE,48,46,0,0,0,10,10,EFFECT TESTING,NA,ATMOSPHERE
"19570308,1957,57002,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,19,19,WR,NA,ATMOSPH",1957,57002,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,19,19,WEAPONS TESTING,NA,ATMOSPHERE
"19570403,1957,57003,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,42,42,WR,NA,ATMOSPH",1957,57003,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,42,42,WEAPONS TESTING,NA,ATMOSPHERE
"19570406,1957,57004,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,57,57,WR,NA,ATMOSPH",1957,57004,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,57,57,WEAPONS TESTING,NA,ATMOSPHERE
"19570410,1957,57005,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,680,680,WR,NA,ATMOSPH",1957,57005,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,680,680,WEAPONS TESTING,NA,ATMOSPHERE
"19570412,1957,57006,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,22,22,WR,NA,ATMOSPH",1957,57006,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,22,22,WEAPONS TESTING,NA,ATMOSPHERE
"19570416,1957,57007,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,320,320,WR,NA,ATMOSPH",1957,57007,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,320,320,WEAPONS TESTING,NA,ATMOSPHERE
"19570424,1957,57053,USA,MELLIS NV,DOE,37,-115,0,0,0,0,0,SE,PROJECT 57:1,SURFACE",1957,57053,USA,MELLIS NV,DOE,37,-115,0,0,0,0,0,SAFETY TESTING,PROJECT 57:1,SURFACE
"19570515,1957,57008,UK,MALDEN IS,DOE,-4,-155,0,0,0,300,300,WR,GRAPPLE:1,AIRDROP",1957,57008,UK,MALDEN IS,DOE,-4,-155,0,0,0,300,300,WEAPONS TESTING,GRAPPLE:1,AIRDROP
"19570531,1957,57010,UK,MALDEN IS,DOE,-4,-155,0,0,0,720,720,WR,GRAPPLE:2,AIRDROP",1957,57010,UK,MALDEN IS,DOE,-4,-155,0,0,0,720,720,WEAPONS TESTING,GRAPPLE:2,AIRDROP
"19570619,1957,57014,UK,MALDEN IS,DOE,-4,-155,0,0,0,200,200,WR,GRAPPLE:3,AIRDROP",1957,57014,UK,MALDEN IS,DOE,-4,-155,0,0,0,200,200,WEAPONS TESTING,GRAPPLE:3,AIRDROP
"19570701,1957,57054,USA,NTS,DOE,37,-116,0,0,0,0,0,SE,COULOMB-A,SURFACE",1957,57054,USA,NTS,DOE,37,-116,0,0,0,0,0,SAFETY TESTING,COULOMB-A,SURFACE
"19570726,1957,57021,USA,NTS,DOE,37,-116,0,0,0,0,0,SE,PASCAL-A,SHAFT",1957,57021,USA,NTS,DOE,37,-116,0,0,0,0,0,SAFETY TESTING,PASCAL-A,UNDERGROUND
"19570810,1957,57055,USA,NTS,DOE,37,-116,0,0,0,0,0,SE,SATURN,TUNNEL",1957,57055,USA,NTS,DOE,37,-116,0,0,0,0,0,SAFETY TESTING,SATURN,UNDERGROUND
"19570822,1957,57024,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,520,520,WR,NA,ATMOSPH",1957,57024,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,520,520,WEAPONS TESTING,NA,ATMOSPHERE
"19570826,1957,57026,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0.1,0.1,SE,NA,ATMOSPH",1957,57026,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0.1,0.1,SAFETY TESTING,NA,ATMOSPHERE
"19570827,1957,57027,USA,NTS,DOE,37,-116,0,0,0,0,0,SE,PASCAL-B,SHAFT",1957,57027,USA,NTS,DOE,37,-116,0,0,0,0,0,SAFETY TESTING,PASCAL-B,UNDERGROUND
"19570907,1957,57034,USSR,N2 RUSS,DOE,73,55,0,0,0,32,32,FMS,NA,SURFACE",1957,57034,USSR,N2 RUSS,DOE,73,55,0,0,0,32,32,SOVIET EXPERIMENT,NA,SURFACE
